EthonFlow — Análisis Comercial Exportado
Empresa,Ethon · Rancagua
Fecha,06-05-2026

SUPUESTOS BASE
Ticket promedio UF,32
Leads/semana,18
Conversion Rate %,32
CRM Adoption %,61
Forecast Accuracy %,78
Ejecutivos en terreno,8
Meta CEO mensual UF,1200

RESULTADOS MOTOR
Forecast actual UF,793
Margen protegido UF,492
Ingreso en riesgo UF,97
Brecha vs meta %,-34

ACCIONES PRIORITARIAS
Acción,Impacto UF/mes,Detalle
"Aumentar Lead Velocity a 24/sem",264,"Outbound automatizado · referidos · seguimiento n8n"
"Mejorar Conversion Rate al 38%",149,"Propuesta <2 hrs · diagnóstico etapa pérdida · IA"
"Subir CRM Adoption al 80%",53,"WhatsApp auto 2 hrs · 3 campos · score semanal"
